Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	66913	1	OK	0.5429476	-0.6238777	0.4136913	0.3805837	-95.042	94.022	374.100	0.2817847	0
1	Port 2: NDI 8700340  s/n:34802401	66914	1	OK	0.5411900	-0.6275336	0.4107190	0.3802957	-96.187	93.948	373.528	0.2604574	0
1	Port 2: NDI 8700340  s/n:34802401	66915	1	OK	0.5398315	-0.6311731	0.4071091	0.3800850	-96.962	94.003	373.036	0.2746021	0
1	Port 2: NDI 8700340  s/n:34802401	66916	1	OK	0.5394049	-0.6350904	0.4028597	0.3786907	-98.069	93.907	372.662	0.2652905	0
1	Port 2: NDI 8700340  s/n:34802401	66917	1	OK	0.5387473	-0.6382500	0.3987155	0.3787008	-98.867	93.840	372.340	0.2873385	0
1	Port 2: NDI 8700340  s/n:34802401	66918	1	OK	0.5385900	-0.6420057	0.3943697	0.3771234	-99.825	93.852	372.246	0.2660248	0
1	Port 2: NDI 8700340  s/n:34802401	66919	1	OK	0.5376193	-0.6443490	0.3909358	0.3780859	-100.486	93.869	372.121	0.2873942	0
1	Port 2: NDI 8700340  s/n:34802401	66920	1	OK	0.5377627	-0.6470409	0.3867225	0.3776177	-101.621	93.818	372.062	0.2827313	0
1	Port 2: NDI 8700340  s/n:34802401	66921	1	OK	0.5378417	-0.6500610	0.3825709	0.3765454	-102.621	93.744	372.280	0.2760553	0
1	Port 2: NDI 8700340  s/n:34802401	66922	1	OK	0.5376501	-0.6516754	0.3790675	0.3775704	-103.632	93.700	372.390	0.3037288	0
1	Port 2: NDI 8700340  s/n:34802401	66923	1	OK	0.5382642	-0.6537257	0.3749422	0.3772699	-104.412	93.816	372.649	0.2946306	0
1	Port 2: NDI 8700340  s/n:34802401	66924	1	OK	0.5388419	-0.6553879	0.3704258	0.3780222	-105.245	93.835	372.861	0.2814463	0
1	Port 2: NDI 8700340  s/n:34802401	66925	1	OK	0.5391831	-0.6571419	0.3667398	0.3780847	-106.211	93.877	373.332	0.3094853	0
1	Port 2: NDI 8700340  s/n:34802401	66926	1	OK	0.5393373	-0.6579103	0.3631623	0.3799768	-106.861	94.046	373.692	0.2700039	0
1	Port 2: NDI 8700340  s/n:34802401	66927	1	OK	0.5405692	-0.6597245	0.3584027	0.3795999	-107.767	94.125	374.325	0.2680199	0
1	Port 2: NDI 8700340  s/n:34802401	66928	1	OK	0.5418330	-0.6607035	0.3536003	0.3805979	-108.584	94.145	374.915	0.2480291	0
1	Port 2: NDI 8700340  s/n:34802401	66929	1	OK	0.5432237	-0.6616137	0.3487681	0.3814920	-109.435	94.230	375.593	0.2388444	0
1	Port 2: NDI 8700340  s/n:34802401	66930	1	OK	0.5443973	-0.6617584	0.3443790	0.3835497	-110.278	94.317	376.307	0.2596313	0
1	Port 2: NDI 8700340  s/n:34802401	66931	1	OK	0.5463223	-0.6630827	0.3386822	0.3835983	-111.325	94.297	377.255	0.2597737	0
1	Port 2: NDI 8700340  s/n:34802401	66932	1	OK	0.5470480	-0.6629046	0.3346090	0.3864361	-112.125	94.442	378.059	0.2556303	0
1	Port 2: NDI 8700340  s/n:34802401	66933	1	OK	0.5481918	-0.6631661	0.3303670	0.3880130	-113.175	94.594	379.012	0.2489232	0
1	Port 2: NDI 8700340  s/n:34802401	66934	1	OK	0.5498850	-0.6633507	0.3251828	0.3896774	-114.340	94.588	379.969	0.2574857	0
1	Port 2: NDI 8700340  s/n:34802401	66935	1	OK	0.5507477	-0.6628128	0.3215725	0.3923612	-115.269	94.794	380.978	0.2476442	0
1	Port 2: NDI 8700340  s/n:34802401	66936	1	OK	0.5525781	-0.6626036	0.3166754	0.3941200	-116.271	94.904	382.005	0.2370322	0
1	Port 2: NDI 8700340  s/n:34802401	66937	1	OK	0.5541069	-0.6620520	0.3121219	0.3965257	-117.128	94.959	383.087	0.2465279	0
1	Port 2: NDI 8700340  s/n:34802401	66938	1	OK	0.5564914	-0.6619975	0.3067195	0.3974918	-118.061	95.101	384.207	0.2195656	0
1	Port 2: NDI 8700340  s/n:34802401	66939	1	OK	0.5580708	-0.6610857	0.3022769	0.4001890	-118.969	95.010	385.313	0.2166163	0
1	Port 2: NDI 8700340  s/n:34802401	66940	1	OK	0.5601221	-0.6607675	0.2983144	0.4008217	-119.662	95.236	386.618	0.2031674	0
1	Port 2: NDI 8700340  s/n:34802401	66941	1	OK	0.5611443	-0.6590659	0.2955910	0.4041971	-120.585	95.288	387.682	0.2268976	0
1	Port 2: NDI 8700340  s/n:34802401	66942	1	OK	0.5626711	-0.6576500	0.2928789	0.4063492	-121.023	95.529	388.917	0.2335878	0
1	Port 2: NDI 8700340  s/n:34802401	66943	1	OK	0.5641278	-0.6556433	0.2903889	0.4093481	-121.898	95.299	390.085	0.2401079	0
1	Port 2: NDI 8700340  s/n:34802401	66944	1	OK	0.5661302	-0.6540885	0.2871524	0.4113494	-122.349	95.389	391.263	0.2107413	0
1	Port 2: NDI 8700340  s/n:34802401	66945	1	OK	0.5675435	-0.6521105	0.2855736	0.4136352	-123.079	95.385	392.494	0.2274643	0
1	Port 2: NDI 8700340  s/n:34802401	66946	1	OK	0.5703938	-0.6508484	0.2821029	0.4140837	-123.348	95.593	393.758	0.2061457	0
1	Port 2: NDI 8700340  s/n:34802401	66947	1	OK	0.5717884	-0.6482476	0.2807430	0.4171528	-123.693	95.448	395.026	0.2117289	0
